

*******************************************************************************
Ephemeris / WWW_USER Sun Nov 19 19:43:56 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: THEMIS-C (spacecraft) (-193)    {source: THEMIS-C_merged}
Center body name: Moon (301)                      {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2023-Oct-26 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Oct-27 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 1737.4, 1737.4, 1737.4 km       {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460243.570833333, A.D. 2023-Oct-26 01:42:00.0000, -3.727131815179833E+03,  8.002194339916377E+03, -1.562196819596428E+03,
2460243.571527778, A.D. 2023-Oct-26 01:43:00.0000, -3.768726212083828E+03,  8.024230268982829E+03, -1.566962384100104E+03,
2460243.572222222, A.D. 2023-Oct-26 01:44:00.0000, -3.810229717794631E+03,  8.046071875188259E+03, -1.571689976372480E+03,
2460243.572916667, A.D. 2023-Oct-26 01:45:00.0000, -3.851642481263436E+03,  8.067721056218051E+03, -1.576379954006588E+03,
2460243.573611111, A.D. 2023-Oct-26 01:46:00.0000, -3.892964651942253E+03,  8.089179677461480E+03, -1.581032671125144E+03,
2460243.574305556, A.D. 2023-Oct-26 01:47:00.0000, -3.934196385914634E+03,  8.110449575942880E+03, -1.585648476287548E+03,
2460243.575000000, A.D. 2023-Oct-26 01:48:00.0000, -3.975337842455308E+03,  8.131532558311061E+03, -1.590227710488160E+03,
2460243.575694445, A.D. 2023-Oct-26 01:49:00.0000, -4.016389182039071E+03,  8.152430403531304E+03, -1.594770712266805E+03,
2460243.576388889, A.D. 2023-Oct-26 01:50:00.0000, -4.057350571808172E+03,  8.173144860679909E+03, -1.599277811883849E+03,
2460243.577083333, A.D. 2023-Oct-26 01:51:00.0000, -4.098222180188750E+03,  8.193677653765937E+03, -1.603749338220448E+03,
2460243.577777778, A.D. 2023-Oct-26 01:52:00.0000, -4.139004178589734E+03,  8.214030478598219E+03, -1.608185610614327E+03,
2460243.578472222, A.D. 2023-Oct-26 01:53:00.0000, -4.179696740499930E+03,  8.234205004838534E+03, -1.612586947469176E+03,
2460243.579166667, A.D. 2023-Oct-26 01:54:00.0000, -4.220300045109820E+03,  8.254202876142108E+03, -1.616953659575198E+03,
2460243.579861111, A.D. 2023-Oct-26 01:55:00.0000, -4.260814269219234E+03,  8.274025712945611E+03, -1.621286055123891E+03,
2460243.580555555, A.D. 2023-Oct-26 01:56:00.0000, -4.301239596941043E+03,  8.293675108899713E+03, -1.625584436328255E+03,
2460243.581250000, A.D. 2023-Oct-26 01:57:00.0000, -4.341576211070816E+03,  8.313152633252881E+03, -1.629849102093476E+03,
2460243.581944444, A.D. 2023-Oct-26 01:58:00.0000, -4.381824297105020E+03,  8.332459833979110E+03, -1.634080345845194E+03,
2460243.582638889, A.D. 2023-Oct-26 01:59:00.0000, -4.421984044428857E+03,  8.351598233212511E+03, -1.638278456177939E+03,
2460243.583333333, A.D. 2023-Oct-26 02:00:00.0000, -4.462055641736777E+03,  8.370569332095791E+03, -1.642443719040281E+03,
2460243.584027778, A.D. 2023-Oct-26 02:01:00.0000, -4.502039280569472E+03,  8.389374609895103E+03, -1.646576415436168E+03,
2460243.584722222, A.D. 2023-Oct-26 02:02:00.0000, -4.541935153552331E+03,  8.408015522009968E+03, -1.650676821450266E+03,
2460243.585416667, A.D. 2023-Oct-26 02:03:00.0000, -4.581743456194992E+03,  8.426493504281989E+03, -1.654745212108779E+03,
2460243.586111111, A.D. 2023-Oct-26 02:04:00.0000, -4.621464383256447E+03,  8.444809972253279E+03, -1.658781854175501E+03,
2460243.586805556, A.D. 2023-Oct-26 02:05:00.0000, -4.661098131360777E+03,  8.462966317601846E+03, -1.662787014321343E+03,
2460243.587500000, A.D. 2023-Oct-26 02:06:00.0000, -4.700644899121835E+03,  8.480963915859571E+03, -1.666760952832082E+03,
2460243.588194444, A.D. 2023-Oct-26 02:07:00.0000, -4.740104886207148E+03,  8.498804120430335E+03, -1.670703928657979E+03,
2460243.588888889, A.D. 2023-Oct-26 02:08:00.0000, -4.779478293268185E+03,  8.516488267454008E+03, -1.674616194774338E+03,
2460243.589583333, A.D. 2023-Oct-26 02:09:00.0000, -4.818765319215017E+03,  8.534017671296057E+03, -1.678498002030051E+03,
2460243.590277778, A.D. 2023-Oct-26 02:10:00.0000, -4.857966167525854E+03,  8.551393629699774E+03, -1.682349598549941E+03,
2460243.590972222, A.D. 2023-Oct-26 02:11:00.0000, -4.897081040995137E+03,  8.568617421387671E+03, -1.686171226540550E+03,
2460243.591666667, A.D. 2023-Oct-26 02:12:00.0000, -4.936110142392106E+03,  8.585690309066205E+03, -1.689963126624205E+03,
2460243.592361111, A.D. 2023-Oct-26 02:13:00.0000, -4.975053675393050E+03,  8.602613534836544E+03, -1.693725536923067E+03,
